Elements,Threads,Method,Time_ms
1000000,1,Sequential,5.998000
1000000,2,Mutex,9.395000
1000000,2,CAS,3.886000
1000000,4,Mutex,9.291000
1000000,4,CAS,5.717000
1000000,8,Mutex,12.218000
1000000,8,CAS,5.520000
1000000,16,Mutex,14.347000
1000000,16,CAS,9.893000
1000000,32,Mutex,13.112000
1000000,32,CAS,9.963000
1000000,64,Mutex,12.106000
1000000,64,CAS,12.092000
1000000,128,Mutex,13.823000
1000000,128,CAS,10.410000
1000000,256,Mutex,13.170000
1000000,256,CAS,9.167000
1000000,512,Mutex,19.597000
1000000,512,CAS,21.719000
10000000,1,Sequential,62.125000
10000000,2,Mutex,82.353000
10000000,2,CAS,35.309000
10000000,4,Mutex,89.104000
10000000,4,CAS,39.319000
10000000,8,Mutex,142.391000
10000000,8,CAS,80.715000
10000000,16,Mutex,145.781000
10000000,16,CAS,113.583000
10000000,32,Mutex,113.825000
10000000,32,CAS,117.011000
10000000,64,Mutex,110.943000
10000000,64,CAS,131.365000
10000000,128,Mutex,107.677000
10000000,128,CAS,133.993000
10000000,256,Mutex,117.522000
10000000,256,CAS,121.377000
10000000,512,Mutex,122.577000
10000000,512,CAS,104.867000
50000000,1,Sequential,300.007000
50000000,2,Mutex,413.776000
50000000,2,CAS,173.571000
50000000,4,Mutex,442.956000
50000000,4,CAS,178.824000
50000000,8,Mutex,574.657000
50000000,8,CAS,257.940000
50000000,16,Mutex,767.617000
50000000,16,CAS,560.724000
50000000,32,Mutex,546.623000
50000000,32,CAS,801.930000
50000000,64,Mutex,518.547000
50000000,64,CAS,885.064000
50000000,128,Mutex,514.352000
50000000,128,CAS,755.727000
50000000,256,Mutex,521.891000
50000000,256,CAS,820.106000
50000000,512,Mutex,531.289000
50000000,512,CAS,884.456000
100000000,1,Sequential,595.498000
100000000,2,Mutex,830.620000
100000000,2,CAS,351.344000
100000000,4,Mutex,883.208000
100000000,4,CAS,388.302000
100000000,8,Mutex,1184.828000
100000000,8,CAS,489.500000
100000000,16,Mutex,1550.751000
100000000,16,CAS,1474.162000
100000000,32,Mutex,1083.692000
100000000,32,CAS,1798.717000
100000000,64,Mutex,1021.973000
100000000,64,CAS,1777.283000
100000000,128,Mutex,1032.142000
100000000,128,CAS,1644.629000
100000000,256,Mutex,1057.367000
100000000,256,CAS,1562.428000
100000000,512,Mutex,1038.844000
100000000,512,CAS,1589.981000
1000000000,1,Sequential,5970.371000
1000000000,2,Mutex,8302.122000
1000000000,2,CAS,3476.974000
1000000000,4,Mutex,8878.504000
1000000000,4,CAS,3624.233000
1000000000,8,Mutex,11652.545000
1000000000,8,CAS,4979.024000
1000000000,16,Mutex,15925.869000
1000000000,16,CAS,13967.561000
1000000000,32,Mutex,10839.743000
1000000000,32,CAS,17220.035000
1000000000,64,Mutex,9998.862000
1000000000,64,CAS,16976.236000
1000000000,128,Mutex,10220.675000
1000000000,128,CAS,18228.422000
1000000000,256,Mutex,10164.296000
1000000000,256,CAS,17555.561000
1000000000,512,Mutex,10179.528000
1000000000,512,CAS,17111.260000
